YEAR,County,Total (All race groups),White,Black,American Indian,Asian,Native Hawaiian and other Pacific Islander,Hispanic or Latino,Multi-Race
2020,Solano,447217,176385,57744,1894,65532,3579,115635,26448
2020,Sonoma,507250,318305,9940,3650,19355,1319,139162,15519
2020,Stanislaus,589156,259319,14101,3075,30043,3321,263142,16155
2020,Sutter,108939,52412,1901,1005,15408,206,34403,3605
2020,Tehama,69340,47043,387,1336,873,78,17721,1901
2020,Trinity,14352,11322,37,563,294,23,1517,597
2020,Tulare,526718,161661,5722,4013,18327,201,329620,7173
2020,Tuolumne,55938,43950,1111,860,787,85,7688,1456
2020,Ventura,867535,387497,12930,2333,54879,1313,386209,22374
2020,Yolo,223657,105256,6934,1216,28968,943,71379,8961
2020,Yuba,84520,48417,2258,1423,4863,260,23215,4083
2030,Alameda,1657567,462329,185788,4067,477769,14755,425901,86958
2030,Alpine,1167,776,0,241,0,0,132,17
2030,Amador,42036,29685,941,610,1126,92,8355,1227
2030,Butte,284082,197535,3187,3657,15628,517,53151,10407
2030,Calaveras,53001,40048,480,569,630,99,8990,2183
2030,Colusa,29023,10949,253,451,394,53,16532,390
2030,Contra Costa,1254205,514514,96929,3331,199333,7870,374858,57370
2030,Del Norte,30861,17588,1342,2212,1495,36,6682,1506
2030,El Dorado,234485,172187,1295,1723,12647,798,39422,6414
2030,Fresno,1241773,335711,55882,7294,119583,1512,697735,24055
2030,Glenn,33552,16314,221,520,844,20,14930,702
2030,Humboldt,145684,101118,1678,8159,5921,463,20970,7376
2030,Imperial,259339,38495,6267,2029,4737,297,206135,1381
2030,Inyo,20428,12347,126,1950,421,16,5093,474
2030,Kern,1341278,437018,64788,6908,59201,1683,751487,20194
2030,Kings,205627,70017,12733,1641,7240,171,108557,5267
2030,Lake,84394,56046,1196,1825,2360,162,19446,3358
2030,Lassen,38828,23963,3329,1018,712,184,8192,1429
2030,Los Angeles,10950335,2417921,762208,21031,1590167,27194,5856169,275645
2030,Madera,229277,76856,4996,1941,5458,293,135834,3898
2030,Marin,253026,161591,7050,524,18593,428,54172,10667
2030,Mariposa,22186,16122,109,458,983,92,3790,632
2030,Mendocino,94812,56339,680,4071,2388,109,28119,3107
2030,Merced,366352,108575,9291,1158,30852,523,209926,6027
2030,Modoc,10347,7501,58,288,250,30,1953,268
2030,Mono,16261,9853,47,215,249,9,5541,347
2030,Monterey,475957,109959,9816,1317,25867,1971,313368,13660
2030,Napa,158649,71235,2685,588,13644,373,66166,3957
2030,Nevada,114022,88433,393,818,3938,145,16812,3484
2030,Orange,3286100,1206062,50060,6292,636318,11084,1268887,107398
2030,Placer,442505,305614,4678,2143,37406,803,75250,16611
2030,Plumas,20526,15426,190,489,437,39,3238,707
2030,Riverside,3046064,1020144,172162,13159,245360,7036,1514097,74106
2030,Sacramento,1708114,728372,165453,8593,264664,19819,419617,101595
2030,San Benito,69215,18868,684,229,2707,68,45540,1119
2030,San Bernardino,2626945,806650,251903,10145,144248,6334,1340959,66706
2030,San Diego,3530896,1462254,148221,15518,402679,17118,1342175,142932
2030,San Francisco,877847,357421,40770,2083,292465,3940,144542,36627
2030,San Joaquin,1004147,306504,69552,3752,165207,3012,425060,31060
2030,San Luis Obispo,311349,190880,5128,1372,14556,508,90703,8203
2030,San Mateo,803288,268740,20692,1235,214226,12700,247161,38534
2030,Santa Barbara,473356,178629,8685,1700,27719,685,243135,12803
2030,Santa Clara,1986545,565642,46718,4657,676602,10162,599435,83328
2030,Santa Cruz,290121,138005,2604,997,15569,497,120982,11467
2030,Shasta,220019,161078,2039,4792,11442,435,31644,8588
2030,Sierra,3125,2597,3,42,0,1,411,71
2030,Siskiyou,48883,34954,475,1655,1005,293,7134,3367
2030,Solano,493422,187997,57579,1892,72038,4032,137048,32837
2030,Sonoma,534439,320264,12564,3736,21955,1156,156157,18607
2030,Stanislaus,674859,270161,15376,3185,39465,3371,323416,19885
2030,Sutter,133010,61019,1964,1112,18592,162,45704,4458
2030,Tehama,77437,50861,430,1526,1586,60,20801,2173
2030,Trinity,15532,12105,35,577,336,25,1825,630
2030,Tulare,630303,189058,5737,4810,24141,490,397435,8631
2030,Tuolumne,57982,43311,1118,872,964,100,10032,1584
2030,Ventura,912548,379115,12827,2292,54838,1338,434350,27788
2030,Yolo,250414,108733,7647,1260,36096,1081,83548,12048
2030,Yuba,101812,55831,2364,1582,4464,268,32183,5120
2040,Alameda,1678565,428479,180230,3915,481391,15106,467048,102396
2040,Alpine,1172,720,0,253,0,0,182,17
2040,Amador,44200,29098,868,638,1549,68,10657,1323
2040,Butte,317718,213901,2994,3671,19446,591,65095,12021
2040,Calaveras,57225,40728,519,568,773,125,11965,2547
2040,Colusa,33273,12211,251,516,489,67,19275,465
2040,Contra Costa,1392509,526683,94877,3389,218706,10575,472768,65512
2040,Del Norte,31877,17030,1317,2290,1795,43,7705,1696
2040,El Dorado,263579,191675,1261,1815,17775,900,42822,7330
2040,Fresno,1397138,349215,59183,7583,135458,1758,816345,27596
2040,Glenn,36027,16528,219,516,905,17,17032,810
2040,Humboldt,147873,96244,1603,8526,7308,543,25303,8347
2040,Imperial,294585,39804,6119,2240,7894,327,236693,1508
2040,Inyo,22009,12559,134,1960,476,14,6370,495
2040,Kern,1618681,507285,69501,7572,71892,1934,938673,21824
2040,Kings,235129,75963,11698,1749,11091,206,128080,6342
2040,Lake,97884,59354,1125,1871,3824,142,27717,3851
2040,Lassen,40909,24305,3257,1019,1025,183,9430,1689
2040,Los Angeles,11243022,2273602,737743,20415,1646963,27167,6226973,310158
2040,Madera,278011,89167,5068,1929,9249,390,167441,4766
2040,Marin,259549,152113,6690,500,26244,413,61031,12558
2040,Mariposa,22787,15235,95,427,1346,101,4914,668
2040,Mendocino,98112,54440,653,4134,3110,120,32268,3389
2040,Merced,436188,128012,9242,1183,42111,600,248252,6788
2040,Modoc,10773,7438,51,284,302,29,2382,286
2040,Mono,17614,9897,54,223,333,8,6698,400
2040,Monterey,513045,105472,9231,1225,32620,1924,347174,15398
2040,Napa,172927,69625,2614,577,18273,453,76870,4515
2040,Nevada,127457,91079,397,809,8488,131,22553,3999
2040,Orange,3321037,1146614,48052,5900,655739,11278,1328808,124646
2040,Placer,501293,337032,4640,2195,48845,796,88077,19707
2040,Plumas,20128,14396,192,486,543,46,3702,764
2040,Riverside,3462256,1114359,178877,13551,256959,7785,1804026,86699
2040,Sacramento,1913756,786642,171902,8928,301719,26722,490349,127493
2040,San Benito,77120,18661,665,229,4343,60,51988,1174
2040,San Bernardino,2988648,858247,307609,11087,157796,8441,1565476,79992
2040,San Diego,3749240,1459608,150909,15868,420523,20400,1521124,160807
2040,San Francisco,891607,372315,37372,2231,291089,4017,142315,42268
2040,San Joaquin,1213708,356441,77539,3948,188170,3556,548700,35355
2040,San Luis Obispo,328677,184741,4509,1373,20817,541,107646,9051
2040,San Mateo,850112,259472,19442,1189,227801,13295,282278,46633
2040,Santa Barbara,492610,166403,8417,1582,33344,639,267629,14596
2040,Santa Clara,2083710,548881,44781,4519,728883,10449,645582,100616
2040,Santa Cruz,298929,127378,2443,948,19539,498,134874,13249
2040,Shasta,242016,163847,2240,4896,14956,483,45713,9880
2040,Sierra,3453,2830,2,42,6,1,487,85
2040,Siskiyou,51854,34045,414,1621,1361,450,9889,4074
2040,Solano,551491,199344,55823,1914,83764,4350,167609,38687
2040,Sonoma,572664,312970,14475,3987,33644,1380,185359,20847
2040,Stanislaus,759027,287421,17032,3274,47342,3341,377151,23467
2040,Sutter,172475,72120,2019,1261,27747,206,63924,5198
2040,Tehama,89087,52390,440,1701,7741,55,24372,2389
2040,Trinity,17030,12903,32,562,375,26,2498,634
2040,Tulare,722838,209018,5402,5239,33006,623,459688,9862
2040,Tuolumne,60593,42699,1170,869,1213,108,12838,1696
2040,Ventura,960528,377260,13172,2210,64254,1307,469490,32835
2040,Yolo,281259,110099,7876,1321,46347,1293,99251,15072
2040,Yuba,123203,62581,2363,1763,4336,297,45702,6160
2050,Alameda,1684761,392556,173519,3686,470586,15280,513882,115252
2050,Alpine,1146,654,0,255,0,0,223,14
2050,Amador,44829,27456,785,658,1898,46,12644,1341
2050,Butte,333319,219393,2685,3622,21395,625,72140,13460
